COUNTRY:,CODE:,Party,2014 Parliamentary Group,2014,2019 Parliamentary Group,2019,,
Greece,EL,ΜΑΡΞΙΣΤΙΚΟ-ΛΕΝΙΝΙΣΤΙΚΟ ΚΟΜΜΟΥΝΙΣΤΙΚΟ ΚΟΜΜΑ ΕΛΛΑΔΟΣ,Far-Left ?,"10,771",Far-Left ?,"12,231",,
Greece,EL,ΚΟΛΛΑΤΟΣ-ΑΝΕΞΑΡΤΗΤΟ ΠΟΛΙΤΙΚΟ ΚΙΝΗΜΑ,Unknown,"8,978",Unknown,"3,065",,
Greece,EL,ΛΑΪΚΕΣ ΕΥΡΩΠΑΪΚΕΣ ΚΟΙΝΩΝΙΚΕΣ ΟΜΑΔΕΣ,Unknown,"8,899",-,-,,
Greece,EL,ΕΘΝΙΚΟ ΜΕΤΩΠΟ,Right-Wing ?,"8,783",-,-,,
Greece,EL,ΔΡΑΧΜΗ,Unknown,"8,724",-,-,,
Greece,EL,ΕΛΠΙΔΑ ΠΟΛΙΤΕΙΑΣ,Unknown,"6,801",-,-,,
Greece,EL,ΕΥΡΩΠΑΪΚΗ ΕΛΕΥΘΕΡΗ ΣΥΜΜΑΧΙΑ-ΟΥΡΑΝΙΟ ΤΟΞΟ,Greens/EFA*,"5,737",-,-,,
Greece,EL,ΕΛΛΗΝΕΣ ΟΙΚΟΛΟΓΟΙ,Green ?,"5,608",Green ?,"11,511",,
Greece,EL,ΠΑΤΡΙΩΤΙΚΗ ΕΝΩΣΗ,Right-Wing ?,"4,614",-,-,,
Greece,EL,ΕΕΚ ΤΡΟΤΣΚΙΣΤΕΣ,Far-Left ?,"4,496",-,-,,
Greece,EL,ΑΓΩΝΙΣΤΙΚΟ ΣΟΣΙΑΛΙΣΤΙΚΟ ΚΙΝΗΜΑ ΕΛΛΑΔΑΣ,Left-Wing ?,"3,627",-,-,,
Greece,EL,ΟΡΓΑΝΩΣΗ ΚΟΜΜΟΥΝΙΣΤΩΝ ΔΙΕΘΝΙΣΤΩΝ ΕΛΛΑΔΟΣ,Far-Left ?,"3,045",Far-Left ?,"4,803",,
Greece,EL,ΟΡΓΑΝΩΣΗ ΓΙΑ ΤΗΝ ΑΝΑΣΥΓΚΡΟΤΗΣΗ ΤΟΥ ΚΚΕ,Far-Left ?,"2,872",-,-,,
Greece,EL,ΚΙΝΗΜΑ ΕΘΝΙΚΗΣ ΑΝΤΙΣΤΑΣΗΣ,Unknown,"2,383",-,-,,
Greece,EL,ΠΑΕΚΕ,Unknown,63,-,-,,
Greece,EL,ΕΘΝΙΚΗ ΑΥΓΗ,Far-Right ?,62,-,-,,
Greece,EL,ΕΛΕΥΘΕΡΙΑ,Unknown,12,-,-,,
