COUNTRY:,CODE:,2013 GDP (PPP) International Dollars,2014 GDP (PPP) International Dollars,2018 GDP (PPP) International Dollars,2019 GDP (PPP) International Dollars,2014: Age 0-14,2014: Age 15-24,2014: Age 25-49,2014: Age 50-64,2014: Age 65-79,2014: Age 80+,2019: Age 0-14,2019: Age 15-24,2019: Age 25-49,2019: Age 50-64,2019: Age 65-79,2019: Age 80+,2014: Age 15-64 Education Levels 0-2,2014: Age 15-64 Education Levels 3-4,2014: Age 15-64 Education Levels 5-8,2014: Age 20-24 Education Levels 0-2,2014: Age 20-24 Education Levels 3-4,2014: Age 20-24 Education Levels 5-8,2014: Age 25-34 Education Levels 0-2,2014: Age 25-34 Education Levels 3-4,2014: Age 25-34 Education Levels 5-8,2014: Age 25-64 Education Levels 0-2,2014: Age 25-64 Education Levels 3-4,2014: Age 25-64 Education Levels 5-8,2014: Age 30-34 Education Levels 0-2,2014: Age 30-34 Education Levels 3-4,2014: Age 30-34 Education Levels 5-8,2014: Age 35-44 Education Levels 0-2,2014: Age 35-44 Education Levels 3-4,2014: Age 35-44 Education Levels 5-8,2014: Age 45-54 Education Levels 0-2,2014: Age 45-54 Education Levels 3-4,2014: Age 45-54 Education Levels 5-8,2014: Age 45-64 Education Levels 0-2,2014: Age 45-64 Education Levels 3-4,2014: Age 45-64 Education Levels 5-8,2014: Age 55-64 Education Levels 0-2,2014: Age 55-64 Education Levels 3-4,2014: Age 55-64 Education Levels 5-8,2019: Age 15-64 Education Levels 0-2,2019: Age 15-64 Education Levels 3-4,2019: Age 15-64 Education Levels 5-8,2019: Age 20-24 Education Levels 0-2,2019: Age 20-24 Education Levels 3-4,2019: Age 20-24 Education Levels 5-8,2019: Age 25-34 Education Levels 0-2,2019: Age 25-34 Education Levels 3-4,2019: Age 25-34 Education Levels 5-8,2019: Age 25-64 Education Levels 0-2,2019: Age 25-64 Education Levels 3-4,2019: Age 25-64 Education Levels 5-8,2019: Age 30-34 Education Levels 0-2,2019: Age 30-34 Education Levels 3-4,2019: Age 30-34 Education Levels 5-8,2019: Age 35-44 Education Levels 0-2,2019: Age 35-44 Education Levels 3-4,2019: Age 35-44 Education Levels 5-8,2019: Age 45-54 Education Levels 0-2,2019: Age 45-54 Education Levels 3-4,2019: Age 45-54 Education Levels 5-8,2019: Age 45-64 Education Levels 0-2,2019: Age 45-64 Education Levels 3-4,2019: Age 45-64 Education Levels 5-8,2019: Age 55-64 Education Levels 0-2,2019: Age 55-64 Education Levels 3-4,2019: Age 55-64 Education Levels 5-8,2013: Total Immigration,2013: EU27 Immigration,2013: Non-EU27 Immigration,2013: Unknown Immigration,2014: Total Immigration,2014: EU27 Immigration,2014: Non-EU27 Immigration,2014: Unknown Immigration,2018: Total Immigration,2018: EU27 Immigration,2018: Non-EU27 Immigration,2018: Unknown Immigration,2019: Total Immigration,2019: EU27 Immigration,2019: Non-EU27 Immigration,2019: Unknown Immigration,2013: EU27 Immigration (Percent of Total Population),2013: EU28 Immigration (Percent of Total Population),2013: Non-EU27 Immigration (Percent of Total Population),2013: Non-EU28 Immigration (Percent of Total Population),2013: Foreign country Immigration (Percent of Total Population),2014: EU27 Immigration (Percent of Total Population),2014: EU28 Immigration (Percent of Total Population),2014: Non-EU27 Immigration (Percent of Total Population),2014: Non-EU28 Immigration (Percent of Total Population),2014: Foreign country Immigration (Percent of Total Population),2018: EU27 Immigration (Percent of Total Population),2018: EU28 Immigration (Percent of Total Population),2018: Non-EU27 Immigration (Percent of Total Population),2018: Non-EU28 Immigration (Percent of Total Population),2018: Foreign country Immigration (Percent of Total Population),2019: EU27 Immigration (Percent of Total Population),2019: EU28 Immigration (Percent of Total Population),2019: Non-EU27 Immigration (Percent of Total Population),2019: Non-EU28 Immigration (Percent of Total Population),2019: Foreign country Immigration (Percent of Total Population),2014: Satisfied with Life,2014: Not Satisfied with Life,2019: Satisfied with Life,2019: Not satisfied with Life,2014: Yes Feel Like EU Citizen,2014: No Feel Like EU Citizen,2019: Yes Feel Like EU Citizen,2019: No Feel Like EU Citizen,2014: Left Political Views,2014: Center Political Views,2014: Right Political Views,2019: Left Political Views,2019: Center Political Views,2019: Right Political Views,"2014: Personal: The environment, climate and energy issues ","2019: Personal: The environment, climate and energy issues ",2014: EU: The environment,2014: EU: Energy supply,2014: EU: Climate change,2019: EU: The environment,2019: EU: Energy supply,2019: EU: Climate change,"2014: Personal: The environment, climate and energy issues ","2019: Personal: The environment, climate and energy issues ",2014: EU: The environment,2014: EU: Energy supply,2014: EU: Climate change,2019: EU: The environment,2019: EU: Energy supply,2019: EU: Climate change,2014: Positive EU Opinion,2014: Negative EU Opinion,2019: Positive EU Opinion,2019: Negative EU Opinion,2014: Agree Country Better Off if Left EU,2014: Disagree Country Better Off if Left EU,2019: Agree Country Better Off if Left EU,2019: Disagree Country Better Off if Left EU
France,FR,"$40,951.51 ","$41,576.11 ","$48,198.44 ","$49,768.90 ",18.60%,11.90%,32.20%,19.30%,12.30%,5.70%,18.00%,11.80%,31.00%,19.20%,13.90%,6.10%,26.50%,43.70%,29.80%,11.90%,58.70%,29.40%,13.80%,41.90%,44.30%,23.30%,43.50%,33.20%,14.00%,42.40%,43.70%,16.90%,41.80%,41.30%,25.70%,48.00%,26.30%,30.90%,45.10%,24.00%,36.50%,42.10%,21.50%,23.40%,42.80%,33.80%,11.50%,56.00%,32.50%,12.50%,39.30%,48.20%,19.50%,42.50%,38.00%,12.70%,39.80%,47.50%,14.40%,39.70%,45.90%,19.90%,45.50%,34.60%,25.00%,45.30%,29.70%,30.50%,45.00%,24.50%,338752,116522,222230,0,340383,110090,230293,0,387158,108645,278513,0,385591,104311,281280,0,0.30%,0.30%,0.90%,0.80%,1.10%,0.20%,0.30%,0.90%,0.80%,1.10%,0.30%,0.30%,1.00%,1.00%,1.30%,0.20%,0.30%,1.10%,1.10%,1.30%,85%,15%,85%,15%,63%,36%,64%,35%,30%,35%,19%,29%,31%,16%,8%,15%,8%,7%,5%,19%,5%,21%,8%,15%,8%,7%,5%,19%,5%,21%,38%,27%,36%,24%,25%,64%,32%,56%
Croatia,HR,"$22,079.54 ","$22,327.13 ","$28,841.68 ","$30,551.85 ",14.80%,11.70%,33.70%,21.40%,14.00%,4.50%,14.40%,10.90%,32.50%,21.60%,15.20%,5.30%,21.00%,60.50%,18.50%,3.80%,86.20%,10.00%,4.80%,63.30%,31.90%,17.30%,61.30%,21.30%,6.10%,61.80%,32.10%,12.70%,63.40%,23.90%,20.60%,63.80%,15.60%,25.40%,59.40%,15.20%,30.20%,55.00%,14.80%,18.10%,59.90%,22.00%,2.70%,85.60%,11.70%,4.40%,60.10%,35.50%,14.20%,60.50%,25.30%,5.80%,61.00%,33.10%,8.40%,61.20%,30.50%,17.10%,64.90%,18.00%,21.60%,60.40%,18.00%,25.50%,56.40%,18.10%,10378,2562,7685,131,10638,3219,7306,113,26029,6040,19570,419,37726,7359,29861,506,0.00%,0.00%,0.10%,0.10%,0.20%,0.00%,0.00%,0.20%,0.20%,0.20%,0.10%,0.10%,0.20%,0.20%,0.20%,0.10%,0.10%,0.10%,0.10%,0.20%,67%,33%,75%,25%,55%,44%,64%,36%,25%,37%,17%,31%,34%,22%,3%,5%,3%,5%,6%,5%,6%,14%,3%,5%,3%,5%,6%,5%,6%,14%,41%,20%,43%,13%,39%,50%,40%,51%
Italy,IT,"$36,288.53 ","$36,460.73 ","$43,610.31 ","$44,702.85 ",13.90%,9.80%,35.00%,19.90%,15.00%,6.40%,13.20%,9.80%,32.30%,21.90%,15.70%,7.20%,42.30%,42.70%,15.00%,20.10%,72.00%,7.90%,26.20%,49.70%,24.20%,40.70%,42.40%,16.90%,28.60%,47.50%,23.90%,35.30%,45.30%,19.40%,46.00%,41.20%,12.90%,49.50%,37.90%,12.60%,53.90%,33.80%,12.30%,39.80%,42.80%,17.40%,18.00%,71.90%,10.10%,23.80%,48.40%,27.70%,37.80%,42.50%,19.60%,26.70%,45.70%,27.60%,31.70%,44.60%,23.80%,42.30%,41.20%,16.50%,45.70%,39.50%,14.80%,49.70%,37.50%,12.80%,307454,88473,218981,0,277631,75497,202134,0,332324,65794,266530,0,332778,69705,263073,0,0.30%,0.30%,0.90%,0.90%,1.20%,0.30%,0.30%,0.70%,0.70%,1.00%,0.20%,0.20%,0.70%,0.70%,0.80%,0.20%,0.20%,0.70%,0.70%,0.80%,66%,34%,70%,29%,47%,50%,57%,41%,26%,28%,17%,22%,25%,23%,4%,9%,2%,2%,1%,8%,6%,15%,4%,9%,2%,2%,1%,8%,6%,15%,30%,29%,38%,20%,42%,40%,44%,46%
Cyprus,CY,"$30,236.86 ","$29,887.57 ","$41,226.29 ","$43,592.17 ",16.30%,14.30%,37.50%,18.10%,10.80%,3.10%,16.10%,12.80%,37.10%,17.90%,12.50%,3.70%,26.10%,37.50%,36.40%,7.60%,56.80%,35.70%,13.70%,32.30%,54.00%,22.40%,37.30%,40.30%,15.20%,32.40%,52.50%,17.20%,38.70%,44.10%,23.00%,45.60%,31.40%,31.40%,39.80%,28.80%,41.60%,32.90%,25.60%,21.50%,38.50%,40.00%,7.70%,63.00%,29.30%,10.00%,29.70%,60.30%,17.50%,37.70%,44.70%,11.90%,29.30%,58.80%,15.10%,37.80%,47.10%,17.20%,44.90%,37.90%,24.00%,43.20%,32.80%,31.20%,41.30%,27.50%,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,3.30%,3.80%,4.90%,4.40%,8.20%,2.20%,2.60%,3.90%,3.50%,6.10%,2.00%,2.50%,4.40%,3.90%,6.40%,1.90%,2.30%,5.20%,4.80%,7.10%,82%,18%,86%,14%,53%,47%,73%,27%,17%,27%,19%,17%,18%,21%,1%,7%,1%,1%,2%,6%,1%,14%,1%,7%,1%,1%,2%,6%,1%,14%,26%,38%,47%,14%,51%,41%,30%,65%
Latvia,LV,"$22,514.03 ","$23,724.25 ","$30,668.56 ","$32,232.87 ",14.70%,11.30%,34.40%,20.60%,14.30%,4.80%,15.90%,9.20%,33.80%,20.90%,14.70%,5.60%,16.10%,57.00%,26.90%,13.30%,70.00%,16.70%,14.00%,46.50%,39.40%,10.50%,59.30%,30.20%,15.00%,45.10%,39.90%,12.50%,56.10%,31.40%,5.30%,68.00%,26.70%,7.70%,67.40%,24.90%,10.30%,66.70%,23.00%,14.90%,53.80%,31.40%,12.90%,76.40%,10.80%,9.80%,46.30%,43.80%,8.80%,55.40%,35.70%,9.70%,44.60%,45.70%,13.20%,47.80%,39.00%,6.70%,60.60%,32.70%,6.30%,63.50%,30.20%,5.90%,66.30%,27.80%,8299,2784,5515,0,10365,3178,7187,0,10909,2294,8615,0,11223,2531,8692,0,:,:,0.30%,0.30%,0.40%,:,:,0.30%,0.30%,0.40%,:,:,0.40%,0.40%,0.50%,:,:,0.30%,0.30%,0.40%,70%,30%,80%,20%,62%,37%,76%,22%,10%,40%,28%,10%,37%,24%,1%,4%,4%,8%,5%,6%,1%,12%,1%,4%,4%,8%,5%,6%,1%,12%,34%,12%,44%,9%,28%,57%,24%,60%
Lithuania,LT,"$26,721.62 ","$28,184.35 ","$36,363.00 ","$38,809.06 ",14.60%,13.30%,33.10%,20.60%,13.50%,5.00%,15.10%,10.50%,32.70%,21.90%,14.00%,5.80%,14.20%,54.30%,31.40%,8.60%,73.20%,18.20%,9.20%,38.30%,52.60%,6.70%,56.60%,36.70%,9.50%,37.10%,53.30%,9.10%,53.30%,37.60%,3.00%,66.80%,30.20%,4.50%,66.50%,29.00%,6.30%,66.10%,27.60%,11.10%,51.00%,37.90%,7.50%,73.60%,18.90%,5.90%,39.00%,55.20%,5.00%,51.80%,43.10%,5.80%,36.40%,57.80%,7.40%,38.90%,53.70%,3.80%,60.20%,36.00%,3.60%,63.20%,33.20%,3.50%,66.10%,30.40%,22011,7050,14925,36,24294,7163,17060,71,28914,6090,22801,23,40067,7331,32709,27,:,:,0.10%,0.10%,0.10%,:,:,0.10%,0.10%,0.10%,:,:,0.20%,0.20%,0.30%,:,:,0.30%,0.30%,0.30%,72%,28%,80%,20%,71%,29%,80%,19%,16%,34%,15%,21%,31%,16%,3%,4%,2%,11%,5%,4%,3%,22%,3%,4%,2%,11%,5%,4%,3%,22%,48%,8%,53%,5%,23%,69%,19%,73%
Luxembourg,LU,"$102,112.96 ","$106,567.99 ","$119,506.21 ","$123,205.42 ",16.80%,12.00%,38.40%,18.70%,10.10%,3.90%,16.10%,11.60%,38.20%,19.80%,10.40%,4.00%,24.90%,35.50%,39.60%,26.30%,58.20%,15.50%,13.10%,33.90%,52.90%,18.00%,36.00%,45.90%,14.90%,32.40%,52.70%,13.60%,30.60%,55.80%,20.70%,39.60%,39.70%,23.20%,40.40%,36.40%,26.90%,41.40%,31.70%,26.70%,32.30%,41.00%,22.50%,55.60%,21.90%,12.30%,31.60%,56.10%,20.70%,32.30%,47.00%,13.20%,30.70%,56.20%,14.90%,29.20%,55.80%,24.70%,33.40%,42.00%,28.60%,34.40%,37.00%,33.50%,35.70%,30.80%,21098,18672,2426,0,22332,19965,2367,0,24644,22869,1775,0,26668,24359,2309,0,7.60%,7.90%,2.80%,2.60%,10.40%,8.50%,8.70%,2.20%,2.00%,10.70%,10.30%,10.60%,3.90%,3.70%,14.30%,10.40%,10.60%,4.60%,4.30%,15.00%,96%,4%,95%,4%,85%,14%,93%,4%,27%,37%,15%,26%,38%,6%,8%,20%,7%,6%,6%,15%,5%,33%,8%,20%,7%,6%,6%,15%,5%,33%,42%,25%,57%,12%,20%,71%,25%,66%
Hungary,HU,"$24,459.30 ","$25,615.22 ","$32,253.94 ","$34,343.64 ",14.40%,11.90%,35.60%,20.50%,13.40%,4.20%,14.50%,10.70%,35.80%,19.60%,14.90%,4.40%,22.00%,57.70%,20.20%,14.70%,75.90%,9.40%,13.00%,54.90%,32.10%,16.90%,59.70%,23.40%,11.80%,54.10%,34.10%,14.40%,61.10%,24.50%,17.40%,62.30%,20.30%,20.30%,61.20%,18.50%,22.80%,60.30%,16.90%,20.00%,57.60%,22.50%,13.40%,78.80%,7.70%,12.70%,56.80%,30.60%,15.00%,59.00%,26.00%,12.00%,54.60%,33.40%,13.70%,56.00%,30.30%,14.70%,62.00%,23.30%,16.90%,61.80%,21.30%,19.30%,61.50%,19.20%,38968,20960,17750,258,54581,25122,29284,175,82937,32557,50301,79,88581,32788,55709,84,0.10%,0.10%,0.10%,0.10%,0.20%,0.10%,0.10%,0.00%,0.00%,0.20%,0.20%,0.20%,0.20%,0.20%,0.40%,0.20%,0.20%,0.30%,0.30%,0.50%,62%,38%,76%,24%,59%,40%,84%,15%,16%,34%,33%,16%,30%,38%,4%,9%,4%,9%,6%,7%,8%,22%,4%,9%,4%,9%,6%,7%,8%,22%,33%,21%,52%,11%,30%,63%,37%,58%
Malta,MT,"$32,560.23 ","$34,754.61 ","$47,205.99 ","$49,026.31 ",14.40%,12.90%,34.20%,20.80%,13.90%,3.80%,13.70%,11.00%,38.50%,18.20%,14.50%,4.20%,50.80%,29.80%,19.40%,20.20%,58.90%,20.90%,37.30%,31.40%,31.30%,55.40%,23.40%,21.20%,45.00%,26.40%,28.60%,48.20%,24.80%,27.00%,63.90%,21.10%,15.00%,69.40%,18.20%,12.40%,74.50%,15.50%,10.00%,38.80%,34.20%,27.00%,17.80%,59.50%,22.70%,24.50%,34.70%,40.80%,42.20%,28.30%,29.50%,26.00%,35.10%,38.90%,36.70%,29.40%,33.90%,49.60%,26.80%,23.60%,58.80%,22.90%,18.30%,67.70%,19.10%,13.20%,10897,3786,7111,0,14454,5346,9108,0,26444,9713,16731,0,28341,8271,20070,0,0.30%,0.60%,1.30%,1.00%,1.60%,0.30%,0.90%,2.10%,1.50%,2.40%,2.20%,2.70%,3.60%,3.10%,5.80%,2.80%,3.70%,5.60%,4.70%,8.40%,91%,9%,94%,6%,87%,12%,81%,15%,16%,34%,12%,29%,23%,12%,13%,33%,5%,5%,5%,26%,1%,22%,13%,33%,5%,5%,5%,26%,1%,22%,43%,9%,47%,7%,22%,66%,16%,69%
Netherlands,NL,"$49,314.47 ","$49,337.71 ","$57,839.93 ","$59,674.84 ",16.90%,12.20%,33.10%,20.40%,13.10%,4.30%,15.90%,12.30%,31.80%,20.90%,14.60%,4.60%,28.80%,41.40%,29.70%,21.00%,61.20%,17.80%,14.80%,40.90%,44.30%,24.10%,41.50%,34.40%,15.20%,40.10%,44.80%,19.80%,42.60%,37.60%,25.90%,44.00%,30.10%,30.10%,41.20%,28.60%,35.10%,38.00%,26.90%,25.50%,39.70%,34.80%,17.80%,61.20%,21.00%,12.40%,38.50%,49.10%,20.40%,39.20%,40.40%,13.00%,35.60%,51.40%,15.70%,37.60%,46.70%,21.80%,42.00%,36.20%,26.20%,40.10%,33.70%,30.90%,38.10%,31.00%,129428,63758,64353,1317,145323,69595,74455,1273,194306,89278,103724,1304,215756,98761,115765,1230,0.30%,0.30%,0.50%,0.50%,0.90%,0.30%,0.30%,0.50%,0.50%,0.80%,0.40%,0.40%,0.90%,0.90%,1.30%,0.30%,0.40%,1.10%,1.10%,1.40%,95%,5%,95%,5%,65%,35%,77%,23%,39%,33%,25%,40%,34%,23%,12%,34%,4%,4%,5%,15%,4%,33%,12%,34%,4%,4%,5%,15%,4%,33%,35%,25%,50%,17%,19%,76%,9%,87%
Austria,AT,"$47,936.68 ","$48,813.54 ","$56,636.70 ","$58,679.93 ",14.30%,11.90%,35.50%,20.00%,13.30%,5.00%,14.40%,10.90%,34.00%,21.70%,13.80%,5.00%,20.30%,52.40%,27.40%,10.40%,62.70%,26.90%,10.00%,51.60%,38.40%,16.10%,54.00%,29.90%,9.60%,50.50%,40.00%,13.90%,52.90%,33.20%,16.60%,56.80%,26.50%,20.10%,55.60%,24.30%,24.80%,53.80%,21.30%,18.70%,50.20%,31.10%,12.70%,58.40%,28.90%,10.60%,47.80%,41.60%,14.40%,51.80%,33.80%,11.40%,46.20%,42.40%,12.20%,49.30%,38.50%,15.10%,54.30%,30.50%,17.30%,54.80%,28.00%,19.60%,55.20%,25.20%,101866,61893,35619,4354,116262,68354,43201,4707,105633,65630,35432,4571,109167,68515,35860,4792,1.70%,1.70%,1.20%,1.20%,2.90%,1.80%,1.90%,1.30%,1.30%,3.20%,2.10%,2.10%,1.90%,1.90%,4.00%,2.10%,2.10%,2.00%,1.90%,4.00%,92%,8%,92%,7%,77%,22%,80%,20%,30%,39%,17%,34%,32%,20%,12%,16%,9%,4%,8%,17%,8%,22%,12%,16%,9%,4%,8%,17%,8%,22%,31%,34%,45%,17%,30%,61%,38%,54%
Poland,PL,"$24,553.09 ","$25,471.41 ","$32,532.20 ","$34,688.97 ",15.00%,12.40%,36.40%,21.30%,11.00%,3.90%,15.40%,10.30%,37.00%,19.70%,13.30%,4.40%,15.50%,60.70%,23.80%,9.60%,75.20%,15.30%,5.80%,51.60%,42.60%,9.50%,63.50%,27.00%,5.60%,52.30%,42.10%,7.00%,61.10%,31.90%,9.20%,72.60%,18.20%,12.80%,71.50%,15.70%,15.80%,70.50%,13.60%,13.30%,58.50%,28.20%,9.20%,78.00%,12.80%,6.00%,50.60%,43.50%,7.40%,60.60%,32.00%,4.90%,48.40%,46.60%,5.40%,52.90%,41.70%,7.90%,67.40%,24.80%,9.30%,70.50%,20.20%,10.60%,73.40%,16.00%,220311,131023,89269,19,222275,119611,102644,20,214083,100768,113315,0,226649,97020,129629,0,:,0.00%,0.10%,0.00%,0.10%,0.00%,0.00%,0.10%,0.10%,0.10%,0.20%,0.20%,0.70%,0.70%,0.90%,0.20%,0.20%,0.70%,0.70%,0.90%,79%,19%,86%,11%,77%,19%,84%,15%,13%,30%,29%,14%,27%,34%,2%,7%,4%,11%,4%,11%,8%,17%,2%,7%,4%,11%,4%,11%,8%,17%,52%,10%,54%,7%,34%,52%,47%,45%
Portugal,PT,"$27,936.01 ","$28,742.32 ","$34,897.55 ","$36,465.95 ",14.60%,10.70%,34.90%,20.00%,14.30%,5.50%,13.70%,10.60%,32.90%,20.90%,15.40%,6.40%,56.30%,24.00%,19.70%,27.90%,53.80%,18.30%,35.30%,33.20%,31.40%,56.70%,21.60%,21.70%,37.40%,31.30%,31.30%,47.70%,25.90%,26.40%,65.80%,17.60%,16.60%,71.10%,14.00%,14.90%,77.10%,10.00%,12.80%,47.60%,28.70%,23.80%,17.10%,60.80%,22.00%,24.80%,37.90%,37.40%,47.80%,25.90%,26.30%,29.20%,34.60%,36.20%,36.90%,29.70%,33.40%,55.10%,23.20%,21.70%,62.00%,19.50%,18.50%,69.50%,15.40%,15.10%,17554,9115,8439,0,19516,9176,10332,8,43170,12841,30319,10,72725,16145,56577,3,0.10%,0.10%,0.50%,0.50%,0.60%,0.10%,0.10%,0.50%,0.50%,0.60%,0.10%,0.10%,0.70%,0.70%,0.80%,0.10%,0.10%,1.40%,1.40%,1.50%,50%,50%,75%,25%,69%,30%,84%,16%,24%,34%,13%,24%,25%,16%,0%,3%,0%,1%,2%,7%,1%,12%,0%,3%,0%,1%,2%,7%,1%,12%,30%,31%,60%,5%,31%,58%,21%,71%
Romania,RO,"$19,746.06 ","$20,611.97 ","$29,281.84 ","$31,244.36 ",15.50%,11.40%,36.80%,19.80%,12.60%,4.00%,15.70%,10.60%,35.60%,19.70%,13.90%,4.70%,31.20%,54.60%,14.20%,20.30%,68.70%,10.90%,24.50%,50.00%,25.40%,27.20%,56.90%,15.90%,24.80%,50.20%,25.00%,23.20%,59.60%,17.10%,22.80%,65.30%,12.00%,31.00%,58.80%,10.20%,38.70%,52.80%,8.50%,25.10%,58.90%,16.00%,16.60%,76.20%,7.20%,22.00%,52.40%,25.50%,21.00%,60.60%,18.40%,23.30%,50.90%,25.80%,20.50%,55.40%,24.10%,16.50%,69.10%,14.40%,20.80%,67.20%,12.10%,25.80%,64.80%,9.40%,153646,121173,28036,4437,136035,97620,33114,5301,172578,95342,75464,1772,202422,97955,101919,2548,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,55%,45%,60%,40%,61%,38%,73%,24%,21%,31%,16%,20%,25%,29%,2%,8%,5%,4%,4%,12%,8%,15%,2%,8%,5%,4%,4%,12%,8%,15%,55%,9%,60%,10%,30%,58%,39%,53%
Slovenia,SI,"$29,990.24 ","$30,883.37 ","$39,198.63 ","$40,919.23 ",14.60%,10.10%,36.30%,21.50%,12.80%,4.70%,15.10%,9.40%,34.10%,21.60%,14.50%,5.30%,18.40%,56.50%,25.10%,9.80%,80.60%,9.50%,6.10%,55.80%,38.00%,14.30%,57.10%,28.60%,6.20%,52.80%,41.00%,9.30%,56.00%,34.70%,15.90%,59.80%,24.30%,20.50%,58.30%,21.20%,25.40%,56.60%,17.90%,15.80%,54.90%,29.30%,7.60%,81.70%,10.70%,4.90%,51.10%,44.10%,11.20%,55.50%,33.30%,5.50%,49.60%,44.90%,6.90%,53.10%,40.00%,13.60%,57.60%,28.80%,16.00%,58.60%,25.30%,18.60%,59.70%,21.70%,13871,4472,9399,0,13846,4619,9227,0,28455,5666,22789,0,31319,5038,26281,0,0.20%,0.20%,0.70%,0.70%,1.00%,0.10%,0.10%,0.80%,0.80%,0.90%,0.10%,0.10%,1.20%,1.20%,1.30%,0.10%,0.10%,1.30%,1.30%,1.50%,84%,16%,92%,8%,69%,30%,77%,23%,22%,29%,11%,22%,29%,18%,4%,6%,4%,3%,5%,11%,5%,17%,4%,6%,4%,3%,5%,11%,5%,17%,40%,20%,44%,15%,51%,43%,48%,48%
Slovakia,SK,"$28,015.76 ","$29,011.39 ","$32,792.64 ","$34,203.01 ",15.30%,12.60%,38.20%,20.30%,10.50%,3.00%,15.70%,10.40%,38.10%,19.70%,12.70%,3.30%,15.20%,66.70%,18.10%,9.10%,77.50%,13.50%,7.40%,62.80%,29.80%,9.00%,70.60%,20.40%,7.10%,66.00%,26.90%,5.80%,73.50%,20.70%,8.30%,76.40%,15.30%,11.90%,73.50%,14.60%,15.50%,70.60%,13.90%,14.50%,62.30%,23.10%,10.10%,74.10%,15.80%,9.10%,51.70%,39.20%,8.60%,65.60%,25.80%,9.50%,50.50%,40.10%,7.50%,65.80%,26.70%,6.60%,73.70%,19.70%,9.00%,73.10%,17.90%,11.50%,72.40%,16.10%,5149,3470,1679,0,5357,3575,1782,0,7253,4696,2557,0,7016,4239,2777,0,:,:,:,:,0.10%,0.10%,0.10%,0.10%,0.10%,0.10%,:,0.10%,0.10%,0.10%,0.10%,0.10%,0.10%,0.10%,0.10%,0.20%,72%,28%,82%,17%,73%,26%,80%,18%,28%,32%,21%,23%,33%,23%,5%,7%,6%,8%,3%,11%,6%,14%,5%,7%,6%,8%,3%,11%,6%,14%,30%,26%,36%,15%,31%,60%,35%,52%
Finland,FI,"$41,587.16 ","$41,835.88 ","$49,227.95 ","$50,676.29 ",16.40%,12.00%,31.50%,20.70%,14.40%,5.00%,16.00%,11.20%,31.20%,19.90%,16.30%,5.50%,20.10%,45.20%,34.70%,13.70%,81.10%,5.20%,9.80%,49.90%,40.30%,13.50%,44.70%,41.80%,9.10%,45.50%,45.30%,9.70%,40.50%,49.90%,11.00%,45.40%,43.70%,16.90%,44.20%,38.90%,22.80%,43.00%,34.20%,16.90%,44.60%,38.50%,11.80%,81.70%,6.50%,8.70%,49.30%,42.00%,9.90%,44.10%,46.00%,9.30%,43.40%,47.30%,7.10%,41.90%,51.00%,9.00%,40.70%,50.30%,11.90%,42.70%,45.40%,14.60%,44.50%,40.90%,31941,15141,16479,321,31507,14278,16900,329,31106,12060,18794,252,32758,11683,21008,67,0.40%,0.50%,0.80%,0.80%,1.30%,0.20%,0.30%,0.60%,0.60%,0.80%,0.10%,0.20%,0.70%,0.60%,0.80%,0.10%,0.10%,0.70%,0.70%,0.80%,95%,5%,96%,4%,79%,20%,85%,14%,23%,35%,32%,24%,37%,28%,13%,26%,7%,9%,11%,17%,3%,40%,13%,26%,7%,9%,11%,17%,3%,40%,34%,21%,44%,12%,26%,64%,18%,76%
Sweden,SE,"$46,098.79 ","$46,936.61 ","$54,123.64 ","$55,656.20 ",17.10%,12.60%,32.80%,18.10%,14.30%,5.20%,17.80%,11.30%,32.90%,18.10%,14.80%,5.10%,22.10%,45.00%,32.80%,13.10%,70.90%,16.10%,12.70%,41.20%,46.00%,16.30%,45.00%,38.70%,13.60%,36.50%,49.90%,12.60%,41.30%,46.10%,15.10%,52.60%,32.30%,20.00%,48.80%,31.10%,25.60%,44.50%,29.90%,20.80%,41.50%,37.80%,15.40%,65.50%,19.10%,11.40%,40.20%,48.40%,13.90%,42.10%,44.00%,11.70%,35.80%,52.50%,14.20%,32.90%,52.90%,12.40%,46.50%,41.10%,15.20%,47.90%,36.90%,18.30%,49.60%,32.10%,115845,31892,80707,3246,126966,32830,89929,4207,132602,33610,95900,3092,115805,30684,83430,1691,0.70%,0.80%,2.50%,2.40%,3.20%,0.70%,0.80%,2.60%,2.60%,3.30%,0.80%,0.80%,4.30%,4.20%,5.00%,0.90%,0.90%,4.70%,4.60%,5.50%,98%,2%,97%,3%,77%,23%,83%,17%,48%,26%,24%,40%,26%,32%,31%,36%,25%,9%,25%,26%,9%,48%,31%,36%,25%,9%,25%,26%,9%,48%,42%,29%,50%,17%,35%,57%,21%,74%
