,COUNTRY:,CODE:,ECR/EFDD 2014,EPP 2014,ALDE 2014,Greens/EFA 2014,S&D 2014,GUE/NGL 2014,NI/Unknown 2014,ECR/ID 2019,EPP 2019,RE 2019,Greens/EFA 2019,S&D 2019,GUE/NGL 2019,NI/Unknown 2019,Total,2013 GDP (PPP) International Dollars,2014 GDP (PPP) International Dollars,2018 GDP (PPP) International Dollars,2019 GDP (PPP) International Dollars,2014: Age 0-14,2014: Age 15-24,2014: Age 25-49,2014: Age 50-64,2014: Age 65-79,2014: Age 80+,2019: Age 0-14,2019: Age 15-24,2019: Age 25-49,2019: Age 50-64,2019: Age 65-79,2019: Age 80+,2014: Age 15-64 Education Levels 0-2,2014: Age 15-64 Education Levels 3-4,2014: Age 15-64 Education Levels 5-8,2014: Age 20-24 Education Levels 0-2,2014: Age 20-24 Education Levels 3-4,2014: Age 20-24 Education Levels 5-8,2014: Age 25-34 Education Levels 0-2,2014: Age 25-34 Education Levels 3-4,2014: Age 25-34 Education Levels 5-8,2014: Age 25-64 Education Levels 0-2,2014: Age 25-64 Education Levels 3-4,2014: Age 25-64 Education Levels 5-8,2014: Age 30-34 Education Levels 0-2,2014: Age 30-34 Education Levels 3-4,2014: Age 30-34 Education Levels 5-8,2014: Age 35-44 Education Levels 0-2,2014: Age 35-44 Education Levels 3-4,2014: Age 35-44 Education Levels 5-8,2014: Age 45-54 Education Levels 0-2,2014: Age 45-54 Education Levels 3-4,2014: Age 45-54 Education Levels 5-8,2014: Age 45-64 Education Levels 0-2,2014: Age 45-64 Education Levels 3-4,2014: Age 45-64 Education Levels 5-8,2014: Age 55-64 Education Levels 0-2,2014: Age 55-64 Education Levels 3-4,2014: Age 55-64 Education Levels 5-8,2019: Age 15-64 Education Levels 0-2,2019: Age 15-64 Education Levels 3-4,2019: Age 15-64 Education Levels 5-8,2019: Age 20-24 Education Levels 0-2,2019: Age 20-24 Education Levels 3-4,2019: Age 20-24 Education Levels 5-8,2019: Age 25-34 Education Levels 0-2,2019: Age 25-34 Education Levels 3-4,2019: Age 25-34 Education Levels 5-8,2019: Age 25-64 Education Levels 0-2,2019: Age 25-64 Education Levels 3-4,2019: Age 25-64 Education Levels 5-8,2019: Age 30-34 Education Levels 0-2,2019: Age 30-34 Education Levels 3-4,2019: Age 30-34 Education Levels 5-8,2019: Age 35-44 Education Levels 0-2,2019: Age 35-44 Education Levels 3-4,2019: Age 35-44 Education Levels 5-8,2019: Age 45-54 Education Levels 0-2,2019: Age 45-54 Education Levels 3-4,2019: Age 45-54 Education Levels 5-8,2019: Age 45-64 Education Levels 0-2,2019: Age 45-64 Education Levels 3-4,2019: Age 45-64 Education Levels 5-8,2019: Age 55-64 Education Levels 0-2,2019: Age 55-64 Education Levels 3-4,2019: Age 55-64 Education Levels 5-8,2013: Total Immigration,2013: EU27 Immigration,2013: Non-EU27 Immigration,2013: Unknown Immigration,2014: Total Immigration,2014: EU27 Immigration,2014: Non-EU27 Immigration,2014: Unknown Immigration,2018: Total Immigration,2018: EU27 Immigration,2018: Non-EU27 Immigration,2018: Unknown Immigration,2019: Total Immigration,2019: EU27 Immigration,2019: Non-EU27 Immigration,2019: Unknown Immigration,2013: EU27 Immigration (Percent of Total Population),2013: EU28 Immigration (Percent of Total Population),2013: Non-EU27 Immigration (Percent of Total Population),2013: Non-EU28 Immigration (Percent of Total Population),2013: Foreign country Immigration (Percent of Total Population),2014: EU27 Immigration (Percent of Total Population),2014: EU28 Immigration (Percent of Total Population),2014: Non-EU27 Immigration (Percent of Total Population),2014: Non-EU28 Immigration (Percent of Total Population),2014: Foreign country Immigration (Percent of Total Population),2018: EU27 Immigration (Percent of Total Population),2018: EU28 Immigration (Percent of Total Population),2018: Non-EU27 Immigration (Percent of Total Population),2018: Non-EU28 Immigration (Percent of Total Population),2018: Foreign country Immigration (Percent of Total Population),2019: EU27 Immigration (Percent of Total Population),2019: EU28 Immigration (Percent of Total Population),2019: Non-EU27 Immigration (Percent of Total Population),2019: Non-EU28 Immigration (Percent of Total Population),2019: Foreign country Immigration (Percent of Total Population),2014: Satisfied with Life,2014: Not Satisfied with Life,2019: Satisfied with Life,2019: Not satisfied with Life,2014: Yes Feel Like EU Citizen,2014: No Feel Like EU Citizen,2019: Yes Feel Like EU Citizen,2019: No Feel Like EU Citizen,2014: Left Political Views,2014: Center Political Views,2014: Right Political Views,2019: Left Political Views,2019: Center Political Views,2019: Right Political Views,"2014: Personal: The environment, climate and energy issues ","2019: Personal: The environment, climate and energy issues ",2014: EU: The environment,2014: EU: Energy supply,2014: EU: Climate change,2019: EU: The environment,2019: EU: Energy supply,2019: EU: Climate change,"2014: Personal: The environment, climate and energy issues .1","2019: Personal: The environment, climate and energy issues .1",2014: EU: The environment.1,2014: EU: Energy supply.1,2014: EU: Climate change.1,2019: EU: The environment.1,2019: EU: Energy supply.1,2019: EU: Climate change.1,2014: Positive EU Opinion,2014: Negative EU Opinion,2019: Positive EU Opinion,2019: Negative EU Opinion,2014: Agree Country Better Off if Left EU,2014: Disagree Country Better Off if Left EU,2019: Agree Country Better Off if Left EU,2019: Disagree Country Better Off if Left EU,GDP (PPP) Percent Change 2013-2014,GDP (PPP) Percent Change 2018-2019,Total Immigration Change 2018-2019,EU27 Immigration Change 2018-2019,Non-EU27 Immigration Change 2018-2019,Unknown Immigration Change 2018-2019,Total Immigration Change 2013-2014,EU27 Immigration Change 2013-2014,Non-EU27 Immigration Change 2013-2014,Unknown Immigration Change 2013-2014
10,Finland,FI,0.129395230209675,0.2782871432753918,0.2642154633413065,0.10046959602937926,0.12311620592329778,0.09663055012630953,0.00788581109464015,0.1430095981246363,0.2566406836990347,0.20024316341947876,0.1677169140649547,0.14622755178151356,0.0740394361887276,0.012122652721654387,2.0,41587.16,41835.88,49227.95,50676.29,0.16399999999999998,0.12,0.315,0.207,0.14400000000000002,0.05,0.16,0.11199999999999999,0.312,0.19899999999999998,0.163,0.055,0.201,0.452,0.34700000000000003,0.13699999999999998,0.8109999999999999,0.052000000000000005,0.098,0.499,0.40299999999999997,0.135,0.447,0.418,0.091,0.455,0.45299999999999996,0.09699999999999999,0.405,0.499,0.11,0.45399999999999996,0.43700000000000006,0.16899999999999998,0.442,0.389,0.228,0.43,0.342,0.16899999999999998,0.446,0.385,0.11800000000000001,0.8170000000000001,0.065,0.087,0.493,0.42,0.099,0.441,0.46,0.09300000000000001,0.434,0.473,0.071,0.419,0.51,0.09,0.40700000000000003,0.503,0.11900000000000001,0.42700000000000005,0.45399999999999996,0.146,0.445,0.409,31941.0,15141.0,16479.0,321.0,31507.0,14278.0,16900.0,329.0,31106.0,12060.0,18794.0,252.0,32758.0,11683.0,21008.0,67.0,0.4,0.005,0.008,0.008,0.013000000000000001,0.002,0.003,0.006,0.006,0.008,0.001,0.002,0.006999999999999999,0.006,0.008,0.001,0.001,0.006999999999999999,0.006999999999999999,0.008,0.95,0.05,0.96,0.04,0.79,0.2,0.85,0.14,0.23,0.35,0.32,0.24,0.37,0.28,0.13,0.26,0.07,0.09,0.11,0.17,0.03,0.4,0.13,0.26,0.07,0.09,0.11,0.17,0.03,0.4,0.34,0.21,0.44,0.12,0.26,0.64,0.18,0.76,0.005980692117470726,0.029421091067168222,0.05310872500482222,-0.0312603648424544,0.11780355432584867,-74.31349206349206,-0.01358755204909051,-0.05699755630407503,0.02554766672734996,-50.31152647975078
11,France,FR,0.29849358197753173,0.2080538470600046,0.11440954546747029,0.11729853525796194,0.16953423816643393,0.08299738005770385,0.009212872012893602,0.275384510399258,0.0847668175049108,0.24970975725015399,0.20874304474554026,0.06256427339732637,0.09660342930934893,0.022228167393461645,1.9999999999999998,40951.51,41576.11,48198.44,49768.9,0.18600000000000003,0.11900000000000001,0.322,0.193,0.12300000000000001,0.057,0.18,0.11800000000000001,0.31,0.192,0.139,0.061,0.265,0.43700000000000006,0.298,0.11900000000000001,0.5870000000000001,0.294,0.138,0.419,0.44299999999999995,0.233,0.435,0.332,0.14,0.424,0.43700000000000006,0.16899999999999998,0.418,0.413,0.257,0.48,0.263,0.309,0.451,0.24,0.365,0.42100000000000004,0.215,0.23399999999999999,0.428,0.33799999999999997,0.115,0.56,0.325,0.125,0.39299999999999996,0.48200000000000004,0.195,0.425,0.38,0.127,0.39799999999999996,0.475,0.14400000000000002,0.397,0.45899999999999996,0.19899999999999998,0.455,0.34600000000000003,0.25,0.45299999999999996,0.297,0.305,0.45,0.245,338752.0,116522.0,222230.0,0.0,340383.0,110090.0,230293.0,0.0,387158.0,108645.0,278513.0,0.0,385591.0,104311.0,281280.0,0.0,0.3,0.003,0.009000000000000001,0.008,0.011000000000000001,0.002,0.003,0.009000000000000001,0.008,0.011000000000000001,0.003,0.003,0.01,0.01,0.013000000000000001,0.002,0.003,0.011000000000000001,0.011000000000000001,0.013000000000000001,0.85,0.15,0.85,0.15,0.63,0.36,0.64,0.35,0.3,0.35,0.19,0.29,0.31,0.16,0.08,0.15,0.08,0.07,0.05,0.19,0.05,0.21,0.08,0.15,0.08,0.07,0.05,0.19,0.05,0.21,0.38,0.27,0.36,0.24,0.25,0.64,0.32,0.56,0.015252184840070574,0.03258321223674457,-0.0040474431627397596,-0.039891389387454554,0.009934904295311171,,0.0048147317211411295,-0.055199876418187126,0.03628223012194573,
12,Croatia,HR,0.1491247100204215,0.3451588596354212,0.1736080980232215,0.09808938891685035,0.18365795137020774,0.006758838230444819,0.043602153803432894,0.1798624522093125,0.2306681664205357,0.1068090439627768,0.023543838935373394,0.2334811360635558,0.0024414453505457404,0.22319391705790012,2.0,22079.54,22327.13,28841.68,30551.85,0.14800000000000002,0.11699999999999999,0.337,0.214,0.14,0.045,0.14400000000000002,0.109,0.325,0.21600000000000003,0.152,0.053,0.21,0.605,0.185,0.038,0.862,0.1,0.048,0.633,0.319,0.17300000000000001,0.613,0.213,0.061,0.618,0.321,0.127,0.634,0.239,0.20600000000000002,0.638,0.156,0.254,0.594,0.152,0.302,0.55,0.14800000000000002,0.18100000000000002,0.599,0.22,0.027000000000000003,0.856,0.11699999999999999,0.044000000000000004,0.601,0.355,0.142,0.605,0.253,0.057999999999999996,0.61,0.331,0.084,0.612,0.305,0.171,0.649,0.18,0.21600000000000003,0.604,0.18,0.255,0.564,0.18100000000000002,10378.0,2562.0,7685.0,131.0,10638.0,3219.0,7306.0,113.0,26029.0,6040.0,19570.0,419.0,37726.0,7359.0,29861.0,506.0,0.0,0.0,0.001,0.001,0.002,0.0,0.0,0.002,0.002,0.002,0.001,0.001,0.002,0.002,0.002,0.001,0.001,0.001,0.001,0.002,0.67,0.33,0.75,0.25,0.55,0.44,0.64,0.36,0.25,0.37,0.17,0.31,0.34,0.22,0.03,0.05,0.03,0.05,0.06,0.05,0.06,0.14,0.03,0.05,0.03,0.05,0.06,0.05,0.06,0.14,0.41,0.2,0.43,0.13,0.39,0.5,0.4,0.51,0.011213548832991999,0.05929508960643063,0.449383380076069,0.2183774834437086,0.5258559018906489,-45.498806682577566,0.02505299672383889,0.25644028103044497,-0.049316851008458035,-57.80152671755725
13,Hungary,HU,0.0,0.5147637867413266,0.0,0.12286305671110023,0.20644037296081513,0.0,0.15593278358675797,0.03289261751541391,0.5256260794348818,0.09926680547207574,0.021753800388755032,0.2266581301147997,0.004164162272090489,0.0896384048019833,1.9999999999999998,24459.3,25615.22,32253.94,34343.64,0.14400000000000002,0.11900000000000001,0.35600000000000004,0.205,0.134,0.042,0.145,0.107,0.358,0.196,0.149,0.044000000000000004,0.22,0.5770000000000001,0.20199999999999999,0.147,0.759,0.094,0.13,0.5489999999999999,0.321,0.16899999999999998,0.597,0.23399999999999999,0.11800000000000001,0.541,0.341,0.14400000000000002,0.611,0.245,0.174,0.623,0.203,0.203,0.612,0.185,0.228,0.603,0.16899999999999998,0.2,0.5760000000000001,0.225,0.134,0.7879999999999999,0.077,0.127,0.568,0.306,0.15,0.59,0.26,0.12,0.546,0.33399999999999996,0.13699999999999998,0.56,0.303,0.147,0.62,0.233,0.16899999999999998,0.618,0.213,0.193,0.615,0.192,38968.0,20960.0,17750.0,258.0,54581.0,25122.0,29284.0,175.0,82937.0,32557.0,50301.0,79.0,88581.0,32788.0,55709.0,84.0,0.1,0.001,0.001,0.001,0.002,0.001,0.001,0.0,0.0,0.002,0.002,0.002,0.002,0.002,0.004,0.002,0.002,0.003,0.003,0.005,0.62,0.38,0.76,0.24,0.59,0.4,0.84,0.15,0.16,0.34,0.33,0.16,0.3,0.38,0.04,0.09,0.04,0.09,0.06,0.07,0.08,0.22,0.04,0.09,0.04,0.09,0.06,0.07,0.08,0.22,0.33,0.21,0.52,0.11,0.3,0.63,0.37,0.58,0.04725891583160605,0.06478898391948397,0.06805165366482993,0.0070952483336916795,0.10751277310590247,-635.6582278481013,0.40066208170806816,0.19856870229007634,0.6498028169014084,-68.12015503875969
14,Ireland,IE,0.15352504470220063,0.22282884942994882,0.1558703255865617,0.051957177646122774,0.07495722956225045,0.3025569296560617,0.03830444341685391,0.018711527929330285,0.3053927793931239,0.16549732032660253,0.11367977292054901,0.04355415335967815,0.2667408818696987,0.08642356420101754,2.0,47761.22,50992.45,85759.36,90405.34,0.215,0.122,0.371,0.166,0.096,0.03,0.205,0.126,0.35600000000000004,0.172,0.10800000000000001,0.033,0.24,0.381,0.38,0.066,0.627,0.307,0.091,0.376,0.534,0.19699999999999998,0.37,0.433,0.094,0.36,0.546,0.133,0.355,0.512,0.242,0.397,0.36200000000000004,0.305,0.377,0.318,0.38299999999999995,0.35200000000000004,0.265,0.21,0.38299999999999995,0.40700000000000003,0.059000000000000004,0.6679999999999999,0.273,0.07400000000000001,0.371,0.5539999999999999,0.163,0.364,0.473,0.084,0.361,0.5539999999999999,0.102,0.354,0.544,0.19,0.371,0.44,0.248,0.365,0.386,0.319,0.359,0.322,65539.0,22315.0,43224.0,0.0,73519.0,23173.0,50346.0,0.0,97712.0,31319.0,66393.0,0.0,85630.0,27691.0,57939.0,0.0,1.9,0.024,0.019,0.013000000000000001,0.037000000000000005,0.017,0.022000000000000002,0.019,0.013999999999999999,0.036000000000000004,0.023,0.027999999999999997,0.032,0.027000000000000003,0.054000000000000006,0.022000000000000002,0.027000000000000003,0.035,0.03,0.055999999999999994,0.9,0.1,0.93,0.07,0.74,0.25,0.85,0.14,0.22,0.48,0.14,0.24,0.49,0.1,0.04,0.14,0.04,0.04,0.04,0.17,0.07,0.33,0.04,0.14,0.04,0.04,0.04,0.17,0.07,0.33,0.41,0.17,0.63,0.1,0.24,0.65,0.3,0.62,0.06765384133822369,0.0541746113776968,-0.12364909120681186,-0.11584022478367764,-0.12733270073652342,,0.12175956300828514,0.03844947344835312,0.16476957245974458,
15,Italy,IT,0.3097417434414326,0.2169394656384484,0.013818947829833363,0.009111547105010305,0.40814854333356676,0.04038255659442311,0.0018571960572854888,0.4118774784634195,0.10039459773567029,0.0311175081948998,0.031458312082871795,0.22737133869171033,0.026340055971288842,0.17144070886013943,2.0,36288.53,36460.73,43610.31,44702.85,0.139,0.098,0.35,0.19899999999999998,0.15,0.064,0.132,0.098,0.32299999999999995,0.21899999999999997,0.157,0.07200000000000001,0.423,0.42700000000000005,0.15,0.201,0.72,0.079,0.262,0.49700000000000005,0.242,0.40700000000000003,0.424,0.16899999999999998,0.28600000000000003,0.475,0.239,0.353,0.45299999999999996,0.19399999999999998,0.46,0.41200000000000003,0.129,0.495,0.379,0.126,0.539,0.33799999999999997,0.12300000000000001,0.39799999999999996,0.428,0.174,0.18,0.7190000000000001,0.10099999999999999,0.23800000000000002,0.484,0.27699999999999997,0.37799999999999995,0.425,0.196,0.267,0.457,0.276,0.317,0.446,0.23800000000000002,0.423,0.41200000000000003,0.165,0.457,0.395,0.14800000000000002,0.49700000000000005,0.375,0.128,307454.0,88473.0,218981.0,0.0,277631.0,75497.0,202134.0,0.0,332324.0,65794.0,266530.0,0.0,332778.0,69705.0,263073.0,0.0,0.3,0.003,0.009000000000000001,0.009000000000000001,0.012,0.003,0.003,0.006999999999999999,0.006999999999999999,0.01,0.002,0.002,0.006999999999999999,0.006999999999999999,0.008,0.002,0.002,0.006999999999999999,0.006999999999999999,0.008,0.66,0.34,0.7,0.29,0.47,0.5,0.57,0.41,0.26,0.28,0.17,0.22,0.25,0.23,0.04,0.09,0.02,0.02,0.01,0.08,0.06,0.15,0.04,0.09,0.02,0.02,0.01,0.08,0.06,0.15,0.3,0.29,0.38,0.2,0.42,0.4,0.44,0.46,0.0047453010634490944,0.02505233280845747,0.0013661366618119666,0.059443110314010394,-0.012970397328630923,,-0.09699987640427511,-0.14666621455133205,-0.07693361524515825,
16,Lithuania,LT,0.2429922797302057,0.17427462414706008,0.30844981912036296,0.10168328626704459,0.17259999073532664,0.0,0.0,0.12238462674034131,0.2625024405652905,0.22624952974473672,0.14822128426910824,0.1823963414537356,0.0,0.05824577722678764,1.9999999999999998,26721.62,28184.35,36363.0,38809.06,0.146,0.133,0.331,0.20600000000000002,0.135,0.05,0.151,0.105,0.327,0.21899999999999997,0.14,0.057999999999999996,0.142,0.5429999999999999,0.314,0.086,0.732,0.182,0.092,0.38299999999999995,0.526,0.067,0.5660000000000001,0.36700000000000005,0.095,0.371,0.5329999999999999,0.091,0.5329999999999999,0.376,0.03,0.6679999999999999,0.302,0.045,0.665,0.29,0.063,0.6609999999999999,0.276,0.111,0.51,0.379,0.075,0.736,0.18899999999999997,0.059000000000000004,0.39,0.552,0.05,0.518,0.431,0.057999999999999996,0.364,0.578,0.07400000000000001,0.389,0.537,0.038,0.602,0.36,0.036000000000000004,0.632,0.332,0.035,0.6609999999999999,0.304,22011.0,7050.0,14925.0,36.0,24294.0,7163.0,17060.0,71.0,28914.0,6090.0,22801.0,23.0,40067.0,7331.0,32709.0,27.0,,,0.001,0.001,0.001,,,0.001,0.001,0.001,,,0.002,0.002,0.003,,,0.003,0.003,0.003,0.72,0.28,0.8,0.2,0.71,0.29,0.8,0.19,0.16,0.34,0.15,0.21,0.31,0.16,0.03,0.04,0.02,0.11,0.05,0.04,0.03,0.22,0.03,0.04,0.02,0.11,0.05,0.04,0.03,0.22,0.48,0.08,0.53,0.05,0.23,0.69,0.19,0.73,0.054739570430235876,0.06726782718697571,0.3857300961471951,0.20377668308702793,0.43454234463400726,-990.1739130434783,0.10372086683930762,0.01602836879432624,0.14304857621440537,-412.6111111111111
17,Luxembourg,LU,0.07530014139350204,0.37657575297583007,0.14775109285749616,0.19241284855886082,0.11726279918199851,0.07253026145005943,0.018167103582252982,0.10574291492972927,0.21099554116312425,0.21437972899391963,0.2872190904865657,0.12189453930002718,0.059768185126633996,0.0,2.0,102112.96,106567.99,119506.21,123205.42,0.168,0.12,0.384,0.187,0.10099999999999999,0.039,0.161,0.11599999999999999,0.382,0.198,0.10400000000000001,0.04,0.249,0.355,0.396,0.263,0.5820000000000001,0.155,0.131,0.33899999999999997,0.529,0.18,0.36,0.45899999999999996,0.149,0.324,0.527,0.136,0.306,0.5579999999999999,0.207,0.396,0.397,0.23199999999999998,0.40399999999999997,0.364,0.26899999999999996,0.414,0.317,0.267,0.32299999999999995,0.41,0.225,0.556,0.21899999999999997,0.12300000000000001,0.316,0.561,0.207,0.32299999999999995,0.47,0.132,0.307,0.562,0.149,0.292,0.5579999999999999,0.247,0.33399999999999996,0.42,0.28600000000000003,0.344,0.37,0.335,0.35700000000000004,0.308,21098.0,18672.0,2426.0,0.0,22332.0,19965.0,2367.0,0.0,24644.0,22869.0,1775.0,0.0,26668.0,24359.0,2309.0,0.0,7.6,0.079,0.027999999999999997,0.026000000000000002,0.10400000000000001,0.085,0.087,0.022000000000000002,0.02,0.107,0.10300000000000001,0.106,0.039,0.037000000000000005,0.14300000000000002,0.10400000000000001,0.106,0.046,0.043,0.15,0.96,0.04,0.95,0.04,0.85,0.14,0.93,0.04,0.27,0.37,0.15,0.26,0.38,0.06,0.08,0.2,0.07,0.06,0.06,0.15,0.05,0.33,0.08,0.2,0.07,0.06,0.06,0.15,0.05,0.33,0.42,0.25,0.57,0.12,0.2,0.71,0.25,0.66,0.043628448337997436,0.030954123639265203,0.08212952442785262,0.06515370151733788,0.3008450704225352,,0.058488956299175276,0.06924807197943444,-0.024319868095630668,
18,Latvia,LV,0.23011983065629768,0.4906197761465223,0.021397358092884657,0.06428292390435351,0.1347413511156334,0.015483047459844466,0.043355712624463985,0.17811503634740466,0.367153424308124,0.183494877354079,0.09193342685881903,0.17754112995791352,0.0017621051736598223,0.0,2.0,22514.03,23724.25,30668.56,32232.87,0.147,0.113,0.344,0.20600000000000002,0.14300000000000002,0.048,0.159,0.092,0.33799999999999997,0.209,0.147,0.055999999999999994,0.161,0.57,0.26899999999999996,0.133,0.7,0.16699999999999998,0.14,0.465,0.39399999999999996,0.105,0.593,0.302,0.15,0.451,0.39899999999999997,0.125,0.561,0.314,0.053,0.68,0.267,0.077,0.674,0.249,0.10300000000000001,0.667,0.23,0.149,0.5379999999999999,0.314,0.129,0.764,0.10800000000000001,0.098,0.46299999999999997,0.43799999999999994,0.08800000000000001,0.5539999999999999,0.35700000000000004,0.09699999999999999,0.446,0.457,0.132,0.478,0.39,0.067,0.606,0.327,0.063,0.635,0.302,0.059000000000000004,0.6629999999999999,0.278,8299.0,2784.0,5515.0,0.0,10365.0,3178.0,7187.0,0.0,10909.0,2294.0,8615.0,0.0,11223.0,2531.0,8692.0,0.0,,,0.003,0.003,0.004,,,0.003,0.003,0.004,,,0.004,0.004,0.005,,,0.003,0.003,0.004,0.7,0.3,0.8,0.2,0.62,0.37,0.76,0.22,0.1,0.4,0.28,0.1,0.37,0.24,0.01,0.04,0.04,0.08,0.05,0.06,0.01,0.12,0.01,0.04,0.04,0.08,0.05,0.06,0.01,0.12,0.34,0.12,0.44,0.09,0.28,0.57,0.24,0.6,0.05375403692719612,0.0510069595703221,0.028783573196443302,0.1033129904097646,0.00893789901334881,,0.24894565610314495,0.14152298850574713,0.3031731640979148,
19,Malta,MT,0.03087539854914215,0.40017708883427106,0.0008020615363846084,0.029453923152975372,0.5338950411155803,0.0,0.0047964868116465685,0.03917959202496425,0.37896407544617466,0.0,0.027446851029160835,0.5428919496410619,0.0,0.011517531858638342,1.9999999999999998,32560.23,34754.61,47205.99,49026.31,0.14400000000000002,0.129,0.342,0.20800000000000002,0.139,0.038,0.13699999999999998,0.11,0.385,0.182,0.145,0.042,0.508,0.298,0.19399999999999998,0.20199999999999999,0.589,0.209,0.373,0.314,0.313,0.5539999999999999,0.23399999999999999,0.212,0.45,0.264,0.28600000000000003,0.48200000000000004,0.248,0.27,0.639,0.21100000000000002,0.15,0.6940000000000001,0.182,0.124,0.745,0.155,0.1,0.38799999999999996,0.342,0.27,0.17800000000000002,0.595,0.22699999999999998,0.245,0.34700000000000003,0.408,0.42200000000000004,0.28300000000000003,0.295,0.26,0.35100000000000003,0.389,0.36700000000000005,0.294,0.33899999999999997,0.496,0.268,0.23600000000000002,0.588,0.22899999999999998,0.183,0.677,0.191,0.132,10897.0,3786.0,7111.0,0.0,14454.0,5346.0,9108.0,0.0,26444.0,9713.0,16731.0,0.0,28341.0,8271.0,20070.0,0.0,0.3,0.006,0.013000000000000001,0.01,0.016,0.003,0.009000000000000001,0.021,0.015,0.024,0.022000000000000002,0.027000000000000003,0.036000000000000004,0.031,0.057999999999999996,0.027999999999999997,0.037000000000000005,0.055999999999999994,0.047,0.084,0.91,0.09,0.94,0.06,0.87,0.12,0.81,0.15,0.16,0.34,0.12,0.29,0.23,0.12,0.13,0.33,0.05,0.05,0.05,0.26,0.01,0.22,0.13,0.33,0.05,0.05,0.05,0.26,0.01,0.22,0.43,0.09,0.47,0.07,0.22,0.66,0.16,0.69,0.0673944870782547,0.03856120801618608,0.07173649977310544,-0.14846082569751878,0.19956966110812266,,0.32642011562815454,0.4120443740095087,0.28083251300801576,
20,Netherlands,NL,0.0838115877457483,0.18871622505703922,0.27627685618878245,0.08050345979780998,0.09398125183802417,0.13848720566896086,0.13822341370363497,0.18058216967365023,0.19509284873821645,0.21732132395190595,0.13196611088809312,0.1901254189620491,0.08491212778608512,0.0,2.0,49314.47,49337.71,57839.93,59674.84,0.16899999999999998,0.122,0.331,0.204,0.131,0.043,0.159,0.12300000000000001,0.318,0.209,0.146,0.046,0.28800000000000003,0.414,0.297,0.21,0.612,0.17800000000000002,0.14800000000000002,0.409,0.44299999999999995,0.24100000000000002,0.415,0.344,0.152,0.401,0.44799999999999995,0.198,0.426,0.376,0.259,0.44,0.301,0.301,0.41200000000000003,0.28600000000000003,0.35100000000000003,0.38,0.26899999999999996,0.255,0.397,0.348,0.17800000000000002,0.612,0.21,0.124,0.385,0.491,0.204,0.392,0.40399999999999997,0.13,0.35600000000000004,0.514,0.157,0.376,0.467,0.218,0.42,0.36200000000000004,0.262,0.401,0.337,0.309,0.381,0.31,129428.0,63758.0,64353.0,1317.0,145323.0,69595.0,74455.0,1273.0,194306.0,89278.0,103724.0,1304.0,215756.0,98761.0,115765.0,1230.0,0.3,0.003,0.005,0.005,0.009000000000000001,0.003,0.003,0.005,0.005,0.008,0.004,0.004,0.009000000000000001,0.009000000000000001,0.013000000000000001,0.003,0.004,0.011000000000000001,0.011000000000000001,0.013999999999999999,0.95,0.05,0.95,0.05,0.65,0.35,0.77,0.23,0.39,0.33,0.25,0.4,0.34,0.23,0.12,0.34,0.04,0.04,0.05,0.15,0.04,0.33,0.12,0.34,0.04,0.04,0.05,0.15,0.04,0.33,0.35,0.25,0.5,0.17,0.19,0.76,0.09,0.87,0.000471261274834708,0.03172393189272525,0.1103928854487252,0.10621877730235893,0.11608692298792951,-78.59969325153374,0.12280959297833545,0.09154929577464789,0.1569779186673504,-47.89673500379651
21,Poland,PL,0.4031846732824244,0.3892873384694925,0.0,0.0031800053327788375,0.1301506403931828,0.0,0.07419734252212148,0.49986902181682535,0.3395793467698841,0.0,0.0,0.14802491461171693,0.01236470686423135,0.0001620099373422354,2.0,24553.09,25471.41,32532.2,34688.97,0.15,0.124,0.364,0.213,0.11,0.039,0.154,0.10300000000000001,0.37,0.19699999999999998,0.133,0.044000000000000004,0.155,0.607,0.23800000000000002,0.096,0.752,0.153,0.057999999999999996,0.516,0.426,0.095,0.635,0.27,0.055999999999999994,0.523,0.42100000000000004,0.07,0.611,0.319,0.092,0.726,0.182,0.128,0.715,0.157,0.158,0.705,0.136,0.133,0.585,0.282,0.092,0.78,0.128,0.06,0.506,0.435,0.07400000000000001,0.606,0.32,0.049,0.484,0.466,0.054000000000000006,0.529,0.41700000000000004,0.079,0.674,0.248,0.09300000000000001,0.705,0.20199999999999999,0.106,0.7340000000000001,0.16,220311.0,131023.0,89269.0,19.0,222275.0,119611.0,102644.0,20.0,214083.0,100768.0,113315.0,0.0,226649.0,97020.0,129629.0,0.0,,0.0,0.001,0.0,0.001,0.0,0.0,0.001,0.001,0.001,0.002,0.002,0.006999999999999999,0.006999999999999999,0.009000000000000001,0.002,0.002,0.006999999999999999,0.006999999999999999,0.009000000000000001,0.79,0.19,0.86,0.11,0.77,0.19,0.84,0.15,0.13,0.3,0.29,0.14,0.27,0.34,0.02,0.07,0.04,0.11,0.04,0.11,0.08,0.17,0.02,0.07,0.04,0.11,0.04,0.11,0.08,0.17,0.52,0.1,0.54,0.07,0.34,0.52,0.47,0.45,0.03740140243040691,0.06629646934421897,0.05869686056342634,-0.037194347411876785,0.14397034814455278,,0.008914670624707799,-0.08709921158880501,0.14982804781055015,-4697.315789473684
